K Value,Train Accuracy,Validation Accuracy,Test Accuracy
2,0.7435646210029393,0.3452084075525472,0.3456666666666667
5,0.45657789258038656,0.3694335589597435,0.35933333333333334
10,0.40803420325999823,0.37228357677235485,0.37433333333333335
15,0.40179923398948963,0.37727110794442464,0.37766666666666665
20,0.39832546539592056,0.38368364802280014,0.38266666666666665
30,0.40001781419791577,0.38902743142144636,0.3873333333333333
50,0.4025118019061192,0.3979337370858568,0.392
